MAIN_ID,OTYPE_S,RA_d_A_ICRS_J2000_2000,DEC_d_D_ICRS_J2000_2000,Distance_distance,Distance_Q,Distance_unit,Distance_merr,Distance_perr,Distance_method,Distance_bibcode,FLUX_B,FLUX_V
b'NGC  2632',b'OpCl',130.10000000,19.66700000,187.0000,,pc,,,ST-L,2005A&A...438.1163K,,
b'Cl Melotte   22',b'OpCl',56.75000000,24.11700000,134.4000,,pc,-2.8000,2.9000,paral,2017A&A...598A..48G,,
b'NGC  2437',b'OpCl',115.44200000,-14.81000000,1713.9570,,pc,,,ST-L,2010MNRAS.403.1491P,,
b'NGC  2422',b'OpCl',114.14600000,-14.48300000,542.0010,,pc,,,ST-L,2010MNRAS.403.1491P,,
b'NGC  2548',b'OpCl',123.42900000,-5.75000000,769.0000,,pc,,,ST-L,2005A&A...438.1163K,,
b'M  49',b'Seyfert_2',187.44499200,8.00041100,16.0700,,Mpc,,,,2016AJ....152...50T,13.210000038146973,12.170000076293945
b'NGC  2323',b'OpCl',105.69790000,-8.33780000,881.0000,,pc,,,ST-L,2005A&A...438.1163K,,
b'M  51',b'GinPair',202.46957500,47.19525800,7.6000,,Mpc,,,redshift,2011MNRAS.413..813C,9.260000228881836,8.359999656677246
b'M  52',b'OpCl',351.20000000,61.59300000,3580.9640,,pc,,,ST-L,2010MNRAS.403.1491P,,
b'M  53',b'GlCl',198.23021000,18.16817000,,,,,,,,8.949999809265137,7.789999961853027
b'M  54',b'GlCl',283.76387000,-30.47986000,0.0270,,Mpc,,,,2008MNRAS.389.1924F,,
b'M  55',b'GlCl',294.99879000,-30.96475000,0.0050,,Mpc,,,,2008MNRAS.389.1924F,,6.489999771118164
b'M  56',b'GlCl',289.14821000,30.18347000,0.0100,,Mpc,,,,2008MNRAS.389.1924F,8.899999618530273,
b'M  57',b'PN',283.39623732,33.02913421,786.9680,,pc,-36.7875,36.7875,paral,2018yCat.1345....0G,15.404999732971191,15.769000053405762
b'M  58',b'Seyfert',189.43165400,11.81808900,16.6700,,Mpc,,,,2016AJ....152...50T,10.479999542236328,9.65999984741211
b'M  59',b'GinGroup',190.50967500,11.64693100,15.3500,,Mpc,,,,2016AJ....152...50T,11.0,
b'M  60',b'GinPair',190.91670000,11.55261100,17.3800,,Mpc,,,,2016AJ....152...50T,10.300000190734863,
b'M  61',b'Seyfert_2',185.47886465,4.47377454,16.5000,,Mpc,,,redshift,2011MNRAS.413..813C,10.180000305175781,9.649999618530273
b'M  62',b'GlCl',255.30250000,-30.11236000,0.0070,,Mpc,,,,2008MNRAS.389.1924F,8.550000190734863,7.389999866485596
b'M  63',b'LINER',198.95530772,42.02936836,9.0400,,Mpc,,,T-RDB,2017AJ....153....6K,9.34000015258789,8.59000015258789
b'M  64',b'Seyfert',194.18206700,21.68265800,4.4100,,Mpc,,,T-RDB,2017AJ....153....6K,9.359999656677246,8.520000457763672
b'M  65',b'GinPair',169.73315400,13.09221100,12.6500,,Mpc,,,,2016AJ....152...50T,9.600000381469727,
