NOMAD1,YM,RAJ2000,DEJ2000,r,pmRA,e_pmRA,pmDE,e_pmDE,Bmag,r_Bmag,Vmag,r_Vmag,Rmag,r_Rmag,Jmag,Hmag,Kmag,R
0610-0032661,.M,48.0188656,-28.9876183,H,371.4,0.4,612.2,0.6,4.381,T,3.927,T,,,2.572,2.317,2.237,
0612-0034209,YM,49.5108142,-28.7970753,H,155.3,0.5,-16.1,0.5,6.221,T,5.924,T,5.730,B,5.298,5.195,5.089,
0626-0051970,YM,51.5938531,-27.3174794,H,7.6,0.5,53.4,0.5,6.850,T,5.940,T,5.370,B,4.548,3.911,3.975,
0554-0020678,YM,39.2441994,-34.5779769,H,-18.2,0.3,-259.9,0.4,6.394,T,5.779,T,5.370,B,4.596,4.184,4.246,R
0575-0039173,YM,42.2725814,-32.4058978,H,86.9,0.4,158.9,0.5,5.413,T,4.464,T,3.870,B,2.729,2.186,2.097,
0598-0027999,YM,39.5777592,-30.1940628,H,98.6,0.7,-73.9,0.6,6.260,T,5.838,T,5.560,B,4.926,4.782,4.631,
0620-0029376,YM,42.4757575,-27.9419817,H,46.5,0.4,22.1,0.5,5.387,T,5.376,T,5.380,B,5.328,5.341,5.270,
0599-0025808,YM,39.0386069,-30.0449778,H,-15.9,0.6,-5.7,0.5,6.751,T,5.735,T,5.110,B,3.873,3.298,3.245,
0617-0025834,.M,38.4612667,-28.2323436,H,-12.6,0.6,-1.3,0.6,4.906,T,4.955,T,4.990,B,5.070,5.080,5.056,
0619-0030406,.M,45.4068225,-28.0915539,H,282.9,0.7,-440.8,0.5,6.657,T,5.880,T,5.380,B,4.363,3.793,3.823,
0647-0033288,YM,44.9007614,-25.2741328,H,181.7,0.6,84.6,0.5,6.067,T,5.695,T,5.450,B,4.913,4.910,4.729,
0658-0035792,YM,49.8954453,-24.1229019,H,5.9,0.5,-22.6,0.6,7.311,T,5.645,T,4.770,B,2.133,1.298,1.086,
0663-0033594,.M,45.5979172,-23.6244717,H,-145.9,0.5,-55.7,0.5,4.233,T,4.075,T,3.990,B,3.657,3.539,3.572,
0661-0033549,.M,44.3490247,-23.8621639,H,101.4,0.6,-35.8,0.6,5.666,T,5.440,T,5.300,B,5.062,5.014,4.915,
0663-0032881,.M,44.5238906,-23.6060122,H,71.9,0.7,51.9,0.6,7.173,T,5.818,T,4.980,B,3.415,2.653,2.564,
0676-0043171,YM,43.3971789,-22.3763078,H,85.5,0.7,-76.1,0.8,6.962,T,5.937,T,5.310,B,3.838,3.192,3.092,
0606-0039220,.M,56.6142856,-29.3381569,H,7.1,0.3,3.7,0.5,6.018,T,5.908,T,5.850,B,5.714,5.639,5.564,
0620-0038177,.M,54.6986319,-27.9430544,H,21.5,0.4,25.8,0.5,5.969,T,5.996,T,6.020,B,6.008,6.065,6.008,
0659-0043359,.M,59.9811806,-24.0162153,H,11.4,0.4,17.0,0.5,4.504,T,4.613,T,4.670,B,4.828,4.974,4.802,
0653-0042605,.M,58.4279283,-24.6122300,H,30.9,0.5,-7.1,0.6,4.498,T,4.615,T,4.690,B,4.977,4.961,4.937,
0661-0041397,.M,56.9152122,-23.8746769,H,48.0,0.5,49.0,0.5,5.303,T,5.236,T,5.210,B,5.139,5.107,5.078,
0667-0040607,.M,56.7120314,-23.2497228,H,-159.8,0.4,-528.5,0.4,4.604,T,4.225,T,3.980,B,3.608,3.392,3.353,
0690-0040256,YM,57.1487681,-20.9029769,H,-29.8,0.7,-16.6,0.7,7.475,T,5.824,T,4.940,B,2.982,2.072,1.875,
0693-0049217,YM,65.1625561,-20.6396219,H,26.1,0.4,-9.4,0.5,5.352,T,5.365,T,5.380,B,5.429,5.402,5.333,
0705-0047358,.M,67.1626572,-19.4588739,H,37.7,0.5,-113.4,0.5,7.180,T,5.940,T,5.180,B,3.995,3.349,3.224,
0696-0054077,.M,62.9008494,-20.3561572,H,45.7,0.5,49.8,0.7,5.968,T,5.805,T,5.720,B,5.541,5.504,5.458,
0736-0040892,YM,62.3243150,-16.3858750,H,-1.0,0.6,0.9,0.6,5.287,T,5.425,T,5.510,B,5.719,5.809,5.807,
0663-0036796,YM,50.3500419,-23.6351353,H,-24.1,0.6,-18.9,0.7,6.361,T,5.504,T,4.950,B,4.110,3.557,3.601,
0674-0051057,YM,49.5920981,-22.5111181,H,12.5,0.8,13.0,1.0,5.763,T,4.882,T,4.320,B,3.404,2.843,2.741,
0682-0056470,YM,49.8791744,-21.7578639,H,51.3,0.7,32.2,0.8,5.336,T,3.741,T,2.860,B,-0.190,-0.977,-1.117,
0683-0059585,YM,53.4469836,-21.6328828,H,44.9,0.6,-27.4,0.6,4.152,T,4.242,T,4.290,B,4.516,4.532,4.551,
0714-0033382,.M,49.6714553,-18.5597939,H,124.9,0.8,-63.2,0.7,6.149,T,5.848,T,5.660,B,5.267,5.105,4.985,
0725-0054155,YM,54.0725522,-17.4670647,H,33.3,0.8,-9.6,0.8,5.107,T,5.231,T,5.300,B,5.458,5.562,5.527,
0764-0038920,.M,59.5073597,-13.5085156,H,60.5,1.0,-111.3,0.7,4.588,T,2.956,T,2.080,B,0.102,-0.762,-0.953,
0779-0055610,YM,58.8171994,-12.0991050,H,-76.9,0.9,-22.1,0.8,6.288,T,5.998,T,5.810,B,5.432,5.314,5.261,
0778-0050079,YM,56.5355647,-12.1015894,H,55.5,1.0,60.0,0.7,6.082,T,4.438,T,3.560,B,1.362,0.482,0.261,
0795-0036948,.M,55.8909736,-10.4856608,H,-7.9,1.1,-20.2,1.0,5.792,T,5.604,T,5.490,B,5.208,5.166,5.076,
0661-0026963,.M,35.6356114,-23.8163261,H,197.3,0.7,-4.3,0.5,5.773,T,5.206,T,4.830,B,4.134,3.712,3.741,
0689-0023981,YM,33.2541133,-21.0001378,H,55.8,0.8,40.7,0.5,6.867,T,5.873,T,5.250,B,3.923,3.373,3.334,
0689-0030863,.M,42.7596731,-21.0040194,H,-39.0,0.4,-16.6,0.5,5.668,T,4.776,T,4.220,B,3.109,2.604,2.483,
0714-0028653,.M,41.2757711,-18.5725628,H,330.9,0.6,36.2,0.6,4.909,T,4.475,T,4.190,B,3.486,3.236,3.249,
0699-0027268,YM,36.6467400,-20.0426169,H,86.1,0.5,101.4,0.5,7.151,T,5.889,T,5.120,B,3.995,3.305,3.181,
0674-0032272,YM,29.1674914,-22.5267850,H,62.2,0.7,-30.1,0.5,6.358,T,4.902,T,4.020,B,2.313,1.659,1.542,
