HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
6726,,164614,,,18 00 36.4,+33 12 50,5.99,1.51,gK6,
6727,,164637,,,18 03 01.7,-22 43 06,6.74,-0.05,B0.5III,*
6728,,164646,,9980,17 59 56.2,+45 30 05,5.67,1.57,M0IIIab,
6729,95    Her,164668,10993,10014,18 01 29.9,+21 35 43,5.18,0.95,G8III,*
6730,95    Her,164669,10993,10014,18 01 30.4,+21 35 44,4.96,0.12,A5IIIn,*
6731,,164712,,,18 11 15.7,-75 53 29,5.86,1.24,K2III,
6732,,164716,,,18 02 46.3,-05 21 31,6.76,0.16,B9V,
6733,69Tau Oph,164764,11005,10073,18 03 05.0,-08 10 49,5.94,,F5V,*
6734,69Tau Oph,164765,11005,10073,18 03 04.9,-08 10 50,5.24,0.38,F2V,*
6735,,164780,,,17 54 26.6,+75 10 15,6.36,0.98,K0,
6736,9    Sgr,164794,,,18 03 52.4,-24 21 38,5.97,0.00,O4V((f)),*
6737,,164824,10998,,18 01 35.9,+33 18 41,6.15,1.55,K5III,*
6738,96    Her,164852,,V820 Her,18 02 23.1,+20 50 01,5.28,-0.09,B3IV,*
6739,,164870,,,18 04 50.4,-35 54 05,6.00,1.16,K2III,
6740,,164871,,,18 07 48.3,-64 33 00,6.41,1.26,K2-3III,
6741,97    Her,164900,,,18 02 30.1,+22 55 23,6.21,-0.10,B3Vn,
6742,Gam1Sgr,164975,11029,W Sgr,18 05 01.3,-29 34 48,4.69,0.78,F4-G1Ib,*
6743,The Ara,165024,,,18 06 37.9,-50 05 30,3.66,-0.08,B2Ib,*
6744,,165029,,,18 03 14.7,+19 36 47,6.50,0.01,A0V,
6745,Pi  Pav,165040,,10204,18 08 34.8,-63 40 06,4.35,0.22,A7pSr,*
6746,10Gam2Sgr,165135,,10173,18 05 48.5,-30 25 27,2.99,1.00,K0III,*
6747,,165174,,V986 Oph,18 04 37.3,+01 55 09,6.14,0.00,B0IIIn,*
6748,,165185,,,18 06 23.7,-36 01 11,5.95,0.62,G5V,
6749,,165189,,,18 06 49.8,-43 25 29,5.77,0.22,A5V,*
6750,,165190,,,18 06 49.8,-43 25 29,5.77,,A5V,*
6751,,165259,,,18 12 34.5,-73 40 18,5.85,0.46,F5V,
6752,70    Oph,165341,11046,,18 05 27.3,+02 29 58,4.03,0.86,K0V,*
6753,,165358,11028,,18 03 09.0,+48 27 52,6.21,0.03,A2V,*
6754,,165373,,,18 04 40.2,+23 56 33,6.34,0.30,F0IV-V,
6755,,165402,,,18 06 07.4,-08 19 26,5.85,0.21,B8III-IV,*
6756,,165438,,,18 06 15.2,-04 45 05,5.77,0.96,K1+IV,
6757,,165462,,,18 06 07.4,-00 26 48,6.34,1.06,G8IIp,
6758,,165475,11056,,18 05 43.3,+12 00 14,7.04,0.30,A3IV,*
6759,,165493,,,18 08 30.1,-45 46 02,6.15,-0.08,B7-8II,*
6760,,165497,,,18 09 57.6,-59 02 24,6.38,1.55,K4III,
6761,Iot Pav,165499,,,18 10 26.1,-62 00 08,5.49,0.58,G0V,
6762,,165516,,,18 07 11.4,-21 26 38,6.28,0.12,B0.5Ib,*
6763,,165524,,,18 05 30.2,+21 38 49,6.15,1.23,gK3,
6764,,165567,,,18 04 43.2,+40 05 03,6.52,0.46,F7V,
6765,98    Her,165625,,10208,18 06 01.9,+22 13 08,5.06,1.58,M3-IIIZrO 0+,
6766,,165634,,,18 08 05.0,-28 27 26,4.57,0.94,G7:IIIb*,*
6767,,165645,11054,,18 05 00.8,+41 56 48,6.34,0.26,F0V,
6768,,165683,,,18 05 49.6,+32 13 50,5.71,1.16,K0III,
6769,,165687,,,18 07 48.4,-17 09 15,5.52,1.11,K1III,
6770,71    Oph,165760,,,18 07 18.4,+08 44 02,4.64,0.96,G8III,
6771,72    Oph,165777,11076,,18 07 21.0,+09 33 50,3.73,0.12,A4IV s,*
6772,,165793,,,18 09 22.4,-36 40 21,6.58,-0.03,B1II,
6773,,165814,,V3792 Sgr,18 08 54.1,-25 28 21,6.61,0.02,B3III,*
6774,,165861,,,18 14 24.1,-70 45 05,6.73,-0.03,B7-8II-III,
6775,99    Her,165908,11077,,18 07 01.5,+30 33 43,5.04,0.52,F7V,*
6776,,165910,11086,,18 07 48.4,+13 04 16,6.63,0.07,A2Vn,*
6777,,165978,,,18 09 59.9,-32 43 11,6.43,1.02,K0IV,
6778,,166006,,,18 11 04.5,-47 30 47,6.07,1.20,K1IIICNII,
6779,103Omi Her,166014,,Omi Her,18 07 32.6,+28 45 45,3.83,-0.03,B9.5V,*
6780,,166023,,,18 10 05.7,-30 43 43,5.53,0.97,K1II,*
6781,100    Her,166045,11089,10253,18 07 49.5,+26 06 05,5.86,0.12,A3V,*
6782,100    Her,166046,11089,10253,18 07 49.5,+26 05 51,5.90,0.14,A3V,*
6783,Eps Tel,166063,,,18 11 13.8,-45 57 16,4.53,1.01,K0III,
6784,,166095,,,18 08 33.7,+14 17 05,6.37,0.17,A5m,
6785,,166103,,,18 09 43.4,-13 56 04,6.39,1.42,K0,
6786,,166114,,,18 11 05.6,-41 21 33,5.86,0.29,F2V,
6787,102    Her,166182,11102,,18 08 45.5,+20 48 52,4.36,-0.16,B2IV,*
6788,,166197,,10304,18 10 55.2,-33 47 59,6.16,-0.14,B1V,
6789,23Del UMi,166205,,,17 32 12.9,+86 35 11,4.36,0.02,A1Vn,*
6790,,166207,,,18 06 53.5,+50 49 22,6.29,1.04,K0III,*
6791,,166208,,,18 07 28.8,+43 27 42,5.00,0.91,G8IIICN-1CH-3,
6792,,166228,11090,,18 07 06.3,+49 42 38,6.32,,A2V,
6793,,166229,,,18 08 02.2,+36 24 05,5.48,1.17,K2.5III,
6794,101    Her,166230,,,18 08 52.9,+20 02 43,5.10,0.15,A8III,
6795,73    Oph,166233,11111,10287,18 09 33.8,+03 59 36,5.73,0.37,F2V,*
6796,,166251,,,18 14 16.2,-63 41 22,6.47,1.41,K4III,*
6797,,166285,11113,,18 09 54.0,+03 07 11,5.69,0.47,F5V,
6798,,166393,11127,,18 11 14.8,-19 50 32,6.36,0.16,A4V,*
6799,,166411,,,18 09 10.2,+30 28 10,6.38,1.19,gK1,
6800,,166460,,,18 10 40.3,+03 19 27,5.51,1.19,K2III,
6801,11    Sgr,166464,11133,,18 11 43.4,-23 42 04,4.98,1.05,K0III,*
6802,,166469,,V4045 Sgr,18 11 58.2,-28 54 05,6.51,-0.01,B9IVpSrEuCr,*
6803,,166479,11123,10311,18 10 08.7,+16 28 36,6.09,,B9V+F7III,*
6804,,166596,,V692 CrA,18 13 12.6,-41 20 10,5.47,-0.17,B2.5III,*
6805,,166599,,,18 15 40.9,-63 03 20,5.60,0.92,K0III-IV,*
6806,,166620,,10316,18 09 37.5,+38 27 27,6.40,0.87,K2V,*
6807,,166640,,,18 09 59.0,+36 27 59,5.58,0.91,G8III,
6808,,166841,,,18 18 00.9,-68 13 45,6.33,-0.04,B9V,
6809,40    Dra,166865,11061,10205,18 00 03.4,+80 00 03,6.04,0.51,F7,*
6810,41    Dra,166866,11061,10205,18 00 09.2,+80 00 15,5.68,0.50,F7,*
6811,24    UMi,166926,,,17 30 48.0,+86 58 05,5.79,0.25,A2m,
6812,13Mu  Sgr,166937,11169,Mu  Sgr,18 13 45.8,-21 03 32,3.86,0.23,B8Iap,*
6813,,166960,,,18 13 10.0,-04 00 42,6.59,0.27,A2m,
6814,,166988,11149,10363,18 11 45.1,+33 26 49,5.88,0.01,A3V,*
6815,104    Her,167006,,V669 Her,18 11 54.2,+31 24 19,4.97,1.65,M3III,*
6816,14    Sgr,167036,,10393,18 14 15.9,-21 42 47,5.44,1.52,K3III,*
6817,,167042,,,18 10 31.6,+54 17 12,5.95,0.94,K1III,
6818,,167096,,,18 15 52.7,-44 12 24,5.46,0.96,G8-K0III,
6819,,167128,,Var?,18 17 07.5,-56 01 24,5.33,-0.05,B3IIIep,*
6820,,167193,,,18 13 16.5,+21 52 49,6.12,1.47,K4III,
6821,,167257,,,18 17 00.9,-51 04 06,6.06,-0.06,B9V,
6822,15    Sgr,167264,,,18 15 12.9,-20 43 42,5.38,0.07,B0Ia,*
6823,16    Sgr,167263,11191,,18 15 12.9,-20 23 17,5.95,0.02,O9.5II,*
6824,,167304,,,18 12 42.6,+41 08 49,6.36,1.03,K0III,
6825,,167356,11196,,18 15 30.8,-18 39 41,6.07,0.20,A0Ia,*
6826,,167370,,,18 13 04.8,+38 46 25,6.04,-0.08,B9IIIn,
6827,,167387,,,18 11 07.1,+60 24 34,6.49,0.00,A1Vnn,
6828,,167425,,,18 19 40.2,-63 53 13,6.18,0.58,F9V,
6829,Phi Oct,167468,,,18 23 36.1,-75 02 39,5.47,0.02,A0V,
6830,,167564,,,18 15 58.0,-03 37 03,6.36,0.20,A4V,
6831,,167588,,,18 14 44.0,+29 12 26,6.56,0.54,F8V,
6832,Eta Sgr,167618,,Eta Sgr,18 17 37.6,-36 45 42,3.11,1.56,M3.5III,*
6833,,167647,,RS Sgr,18 17 36.1,-34 06 26,6.16,-0.11,B3V+A,*
6834,,167654,,10466,18 16 05.6,+02 22 40,6.01,1.59,M4IIIab,*
6835,,167666,,,18 17 24.0,-28 39 09,6.19,0.18,A5/7V,
6836,,167665,,,18 17 23.7,-28 17 21,6.40,0.54,G0V,
6837,,167714,,,18 29 19.5,-80 13 58,5.95,1.16,K2III,
6838,,167720,,,18 17 11.6,-17 22 26,5.75,1.58,K4II-III,
6839,,167756,,,18 18 40.0,-42 17 18,6.30,-0.11,B0.5Ia,
6840,,167768,,,18 16 53.1,-03 00 26,6.00,0.89,G3III,*
6841,,167771,,,18 17 28.5,-18 27 48,6.54,0.11,O7III:(n)((f)),*
6842,,167818,,,18 18 03.2,-27 02 33,4.65,1.66,K3II,
6843,,167833,,,18 17 24.2,-09 45 31,6.31,0.38,A8V,
6844,,167858,,,18 17 04.8,+01 00 21,6.63,0.31,F2V,
6845,,167965,,,18 15 38.8,+42 09 34,5.59,-0.10,B7IV,
6846,,167979,,,18 18 41.7,-25 36 17,6.51,1.34,gK1,
6847,,168009,,,18 15 32.6,+45 12 34,6.29,0.62,G2V,
6848,,168021,11240,10543,18 18 43.3,-18 37 10,6.84,0.31,B0Ib,*
6849,,168092,11213,,18 14 41.1,+56 35 18,6.37,0.34,F1V,*
6850,36    Dra,168151,,,18 13 53.8,+64 23 50,5.03,0.38,F5V,
6851,,168199,,,18 18 02.9,+13 46 37,6.30,-0.03,B5V,
6852,,168270,,,18 18 07.7,+18 07 53,5.99,0.03,B9V,
6853,,168322,,,18 17 06.8,+40 56 12,6.11,0.99,G8.5IIIbFe-1CH0.5,*
6854,,168323,,,18 18 07.7,+23 17 48,6.63,,K5,
6855,Xi  Pav,168339,,10673,18 23 13.6,-61 29 38,4.36,1.48,K4III,*
6856,,168357,,,18 20 55.3,-37 29 15,6.45,1.31,K2II,
6857,,168387,11254,,18 19 09.5,+07 15 35,5.39,1.07,K2III-IV,*
6858,,168415,,,18 20 08.8,-15 49 54,5.39,1.47,K4III,
6859,19Del Sgr,168454,11264,,18 20 59.7,-29 49 41,2.70,1.38,K3-IIIa*,*
6860,105    Her,168532,,,18 19 10.7,+24 26 46,5.27,1.53,K3III:Ba0.4,*
6861,,168574,,V4028 Sgr,18 21 31.4,-24 54 54,6.25,1.84,M5III,*
6862,,168592,,,18 22 18.6,-38 39 25,5.10,1.49,K4-5III,
6863,,168608,,Y Sgr,18 21 23.1,-18 51 36,5.75,0.94,F8I,*
6864,,168646,,,18 22 00.2,-28 25 48,6.16,0.26,A3III,*
6865,37    Dra,168653,,,18 15 17.0,+68 45 21,5.95,1.06,gK1,
6866,74    Oph,168656,11271,,18 20 52.1,+03 22 38,4.86,0.91,G8III,*
6867,,168694,,,18 19 52.1,+29 39 58,5.99,1.29,gK4,
6868,106    Her,168720,,,18 20 17.9,+21 57 41,4.95,1.59,M1III,
6869,58Eta Ser,168723,,10675,18 21 18.6,-02 53 56,3.26,0.94,K0III-IV,*
6870,,168733,,V4050 Sgr,18 22 53.1,-36 40 10,5.34,-0.14,Ap,*
6871,,168740,,,18 25 31.5,-63 01 17,6.14,0.20,A3V,*
6872,1Kap Lyr,168775,,10657,18 19 51.7,+36 03 52,4.33,1.17,K2IIIabCN0.5,*
6873,,168797,,10688,18 21 28.5,+05 26 09,6.13,-0.04,B3Ve,*
6874,,168838,,,18 23 28.9,-36 14 18,5.55,1.02,K0III,
6875,,168905,,10724,18 24 18.2,-44 06 37,5.25,-0.19,B2.5Vn,*
6876,108    Her,168913,,,18 20 57.1,+29 51 32,5.63,0.21,A5m,*
6877,107    Her,168914,,10690,18 21 01.0,+28 52 12,5.12,0.20,A7V,
6878,,169009,,,18 23 02.2,-10 13 07,6.33,0.14,B9.5V,
6879,20Eps Sgr,169022,,,18 24 10.3,-34 23 05,1.85,-0.03,B9.5III,*
6880,,169028,,,18 19 56.1,+51 20 52,6.30,1.10,gK1,
6881,,169033,,,18 23 12.2,-12 00 53,5.73,0.01,B8IV-Ve,
6882,,169110,,,18 22 08.7,+23 17 07,5.41,1.60,M0IIIab,
6883,,169111,,,18 22 35.3,+12 01 44,5.89,0.04,A2V,
6884,Zet Sct,169156,,,18 23 39.5,-08 56 03,4.68,0.95,G9-IIIbFe-0.5,*
6885,,169191,,,18 22 49.0,+17 49 36,5.25,1.27,K3III,
6886,,169221,,,18 21 07.1,+49 43 32,6.40,1.07,K1III,
6887,,169223,,,18 23 02.9,+16 41 17,6.22,1.20,K0,
6888,18    Sgr,169233,,,18 25 01.5,-30 45 24,5.60,1.14,K0III-IV,
6889,,169236,,,18 25 21.7,-35 59 30,6.15,1.00,K0III,
6890,,169268,,,18 24 03.5,-03 35 00,6.38,0.34,F6III-IV,*
6891,,169305,,,18 21 32.7,+49 07 18,5.05,1.66,M2IIIab,
6892,,169370,,,18 24 42.1,-07 04 31,6.31,1.16,K0,
6893,,169398,,,18 25 54.6,-33 56 43,6.30,-0.08,B5IV,
6894,,169405,,,18 26 53.9,-48 07 01,5.46,0.84,K0-1III+F-G,
6895,109    Her,169414,,10742,18 23 41.9,+21 46 11,3.84,1.18,K2.5IIIab,
6896,21    Sgr,169420,11325,,18 25 21.0,-20 32 30,4.81,1.31,K2II,*
6897,Alp Tel,169467,,,18 26 58.4,-45 58 06,3.51,-0.17,B3IV,*
6898,,169493,11324,,18 24 57.0,-01 34 46,6.15,0.37,F6III+A9III,*
6899,,169570,,,18 32 55.3,-73 57 56,5.89,0.98,K0III,
6900,,169578,,,18 25 08.8,+05 05 05,6.74,0.02,B9V,
6901,,169646,11320,10756,18 23 57.4,+38 44 21,6.36,,K4III,*
6902,,169689,,,18 25 38.8,+08 01 55,5.65,0.92,G8III-IV+A0V,*
6903,2Mu  Lyr,169702,,,18 24 13.8,+39 30 26,5.12,0.03,A3IVn,*
6904,,169718,11334,,18 24 58.5,+27 23 43,6.27,0.05,A0V+A4V,*
6905,Zet Tel,169767,,,18 28 49.9,-49 04 15,4.13,1.02,G8-K0III,*
6906,,169820,,,18 25 55.4,+14 58 00,6.37,0.01,B9V,
6907,,169830,,,18 27 49.5,-29 48 59,5.92,0.52,F9V,
6908,,169836,,,18 29 56.7,-57 31 23,5.76,0.98,K0III,
6909,,169851,11354,,18 27 43.8,-26 38 05,6.31,0.26,A8V+F2V,*
6910,,169853,,,18 28 27.1,-38 59 44,5.64,0.13,A2mA2-F0,
6911,,169885,,,18 23 47.8,+53 18 03,6.32,0.16,A3m,
6912,,169904,,,18 42 14.1,-81 48 28,6.27,-0.13,B8V,
6913,22Lam Sgr,169916,,,18 27 58.2,-25 25 18,2.81,1.04,K1+IIIb,*
6914,,169938,,,18 28 06.2,-26 45 26,6.27,0.16,A3/4V,
6915,,169943,,,18 29 12.9,-43 50 45,6.36,0.90,G8III,
6916,Nu  Pav,169978,,10889,18 31 22.4,-62 16 42,4.64,-0.11,B7-8III,*
6917,,169981,,,18 25 58.8,+29 49 44,5.83,0.06,A2IV,*
6918,59    Ser,169985,11353,d Ser,18 27 12.5,+00 11 46,5.21,0.50,G0III+A6V,*
6919,,169990,,10835,18 27 56.5,-17 48 00,6.20,0.01,B8V,
6920,43Phi Dra,170000,11311,Phi Dra,18 20 45.5,+71 20 16,4.22,-0.10,A0pSi:,*
6921,,170040,,,18 29 16.8,-38 51 04,6.63,-0.02,B8,
6922,,170069,,,18 29 55.8,-47 13 13,5.70,1.26,K2III,
6923,39    Dra,170073,11336,,18 23 54.5,+58 48 02,4.98,0.08,A1V,*
6924,,170111,11356,,18 26 40.9,+26 26 58,6.53,-0.11,B3V,*
6925,,170137,,,18 27 50.3,+03 44 55,6.07,1.62,K3III,
6926,,170141,,10864,18 28 57.4,-26 34 54,6.50,0.11,A3III,*
6927,44Chi Dra,170153,,10749,18 21 03.4,+72 43 58,3.57,0.49,F7V,*
6928,,170200,,,18 27 58.8,+06 11 39,5.73,-0.03,B8III-IV,*
6929,,170235,,V4031 Sgr,18 29 22.0,-25 15 23,6.59,0.07,B2IVpe,*
6930,Gam Sct,170296,,,18 29 11.9,-14 33 57,4.70,0.06,A3Vn,
6931,,170384,,,18 31 03.0,-41 54 49,6.04,0.14,A3V,
6932,,170397,,V432 Sct,18 29 46.8,-14 34 54,5.96,-0.04,B9pSiCr,*
6933,,170433,,,18 30 11.9,-18 43 44,5.66,1.06,gK0,
6934,Del1Tel,170465,,,18 31 45.4,-45 54 54,4.96,-0.11,B6IV,*
6935,60    Ser,170474,,,18 29 41.0,-01 59 07,5.39,0.96,K0III,*
6936,,170479,,,18 31 04.8,-32 59 21,5.34,0.16,A3m,*
6937,,170521,,,18 31 56.2,-43 30 28,5.72,1.34,K2III,
6938,Del2Tel,170523,,,18 32 02.0,-45 45 26,5.07,-0.14,B3III,*
6939,,170525,,,18 33 29.5,-58 42 33,6.44,0.68,G5IV,*
6940,,170547,,,18 30 14.3,-05 43 27,6.28,0.95,G8II-III,*
6941,,170580,11399,,18 30 05.1,+04 03 55,6.69,0.11,B2V,*
6942,,170642,,,18 32 21.4,-39 42 14,5.16,0.08,A3Vn,
6943,,170650,,,18 29 35.7,+23 51 58,5.90,-0.10,B6IV,
6944,,170680,11411,,18 31 26.3,-18 24 10,5.14,0.00,A0Vp,*
6945,42    Dra,170693,,,18 25 59.1,+65 33 49,4.82,1.19,K1.5IIIFe-0.5,
6946,,170740,11414,,18 31 25.7,-10 47 45,5.72,0.24,B2V,*
6947,,170764,,U Sgr,18 31 53.3,-19 07 30,6.68,1.13,G1.5Ib,*
6948,,170773,,,18 33 00.9,-39 53 32,6.22,0.42,F5IV,
6949,,170811,,,18 27 42.3,+59 32 57,6.43,,K0IV,
6950,,170829,,Var?,18 30 41.6,+20 48 55,6.50,0.79,G8IV,*
6951,The CrA,170845,,,18 33 30.2,-42 18 45,4.64,1.01,G8III,
6952,Kap1CrA,170868,,,18 33 23.3,-38 43 13,6.32,,A0III,*
6953,Kap2CrA,170867,,,18 33 23.1,-38 43 34,5.65,-0.06,B9V,*
6954,,170873,,,18 34 31.2,-52 53 31,6.22,1.25,K2III,
6955,,170878,,,18 31 04.4,+16 55 43,5.77,0.04,A2V,
6956,,170902,,,18 32 20.8,-14 38 39,6.37,0.22,A4V,
6957,61    Ser,170920,,,18 31 57.0,-01 00 11,5.94,0.16,A4III,*
6958,,170973,,MV Ser,18 32 07.0,+03 39 35,6.43,-0.04,A0pSiCr,*
6959,,170975,,,18 32 43.3,-14 51 56,5.50,1.97,K3Ib-IICN1,
6960,,171034,,,18 33 57.8,-33 01 00,5.28,-0.11,B2IV-V,*
6961,24    Sgr,171115,,,18 33 53.5,-24 01 57,5.49,1.79,K4Ib,
6962,,171130,,,18 33 39.0,-14 51 13,5.76,0.04,A2V,
6963,,171149,,,18 33 22.9,-05 54 41,6.36,0.02,A0Vn,
6964,,171161,,,18 51 57.9,-83 18 59,7.16,1.26,K1IIICNII:,
6965,25    Sgr,171237,,11035,18 34 32.8,-24 13 21,6.51,0.54,F3II-III,*
6966,,171245,,,18 32 46.2,+23 37 01,5.84,1.46,gK5,*
6967,,171247,11448,,18 33 23.3,+08 16 06,6.42,-0.03,B8IIIpSiSr:,*
6968,,171301,11446,,18 32 49.9,+30 33 15,5.48,-0.10,B8IV,
6969,,171369,,,18 35 21.3,-20 50 27,6.48,0.28,F0IV,
6970,,171391,,,18 35 02.4,-10 58 38,5.14,0.92,G8III,
6971,,171406,,Var?,18 33 23.1,+30 53 33,6.59,-0.12,B4Ve,*
6972,,171416,,,18 35 59.7,-29 41 57,6.37,1.27,K1III,
6973,Alp Sct,171443,,11056,18 35 12.4,-08 14 39,3.85,1.33,K3-III-IIIb,*
6974,,171461,,,18 32 11.4,+52 06 56,6.56,-0.07,B9.5V,
6975,,171487,,,18 34 19.6,+20 27 59,6.57,0.11,A3V,
6976,,171505,,,18 34 47.5,+10 53 30,6.40,0.08,A1V,
6977,,171623,,,18 35 12.6,+18 12 12,5.78,0.00,A0Vn,
6978,45    Dra,171635,,,18 32 34.5,+57 02 44,4.77,0.61,F7Ib,
6979,,171653,,,18 31 14.8,+65 26 10,6.59,0.30,A8m,*
6980,,171745,11479,,18 35 30.4,+23 36 20,5.61,1.00,G9III+G7III,*
6981,,171746,11483,11085,18 35 53.2,+16 58 32,6.21,0.53,G2V+G2V,*
6982,Zet Pav,171759,,,18 43 02.1,-71 25 41,4.01,1.14,K0III,*
6983,,171779,11468,,18 33 56.7,+52 21 13,5.36,1.09,K0III,*
6984,,171780,,Var,18 35 13.5,+34 27 28,6.10,-0.11,B5Vne,*
6985,,171802,,,18 36 27.8,+09 07 21,5.39,0.37,F5III,*
6986,,171819,,,18 39 14.3,-47 54 35,5.86,0.23,A7IV-V,
6987,,171834,11496,,18 36 39.1,+06 40 19,5.45,0.37,F3V,*
6988,,171856,,,18 37 54.4,-21 23 52,5.94,0.19,A8IIIn,*
6989,,171957,11512,,18 38 04.6,-14 00 17,6.47,0.21,B9IV,*
6990,,171961,,,18 38 30.7,-23 30 18,5.81,0.02,B8III,*
6991,,171967,,,18 39 35.0,-43 11 10,5.37,1.68,M2III,
6992,,171975,,,18 37 12.6,+11 25 18,6.42,-0.02,B9V,
6993,,171978,,11122,18 37 36.0,-00 18 34,5.75,0.07,A1V+A1V,*
6994,,171990,,,18 47 49.4,-77 52 02,6.39,0.60,F8V,
6995,,171994,,,18 37 09.0,+16 11 54,6.29,0.90,G8IV,
6996,,172021,,,18 42 22.5,-64 38 35,6.37,0.15,A5V,
6997,,172044,11504,11113,18 36 37.2,+33 28 08,5.42,-0.10,B8II-IIIpHg,*
6998,,172051,,,18 38 53.4,-21 03 07,5.86,0.68,G4V,
6999,,172088,11520,,18 38 23.7,-03 11 37,6.49,0.55,F9IV,*
7000,,172103,,,18 38 19.1,-01 06 48,6.66,0.42,F1IV-V,
7001,3Alp Lyr,172167,11510,Alp Lyr,18 36 56.3,+38 47 01,0.03,0.00,A0Va,*
7002,,172171,11524,X Oph,18 38 21.0,+08 50 02,6.40,1.32,M6IIIe+K1III,*
7003,,172187,,,18 36 45.6,+43 13 19,6.20,0.24,F0V,
7004,,172211,,,18 43 37.2,-64 33 04,5.78,0.96,K0III,
7005,,172223,,11183,18 41 30.6,-48 05 42,6.49,1.22,K2III-IVCNII,*
7006,,172340,,,18 29 44.9,+77 32 49,5.64,1.18,gK4,
7007,,172348,11552,,18 40 00.5,-07 47 26,5.84,1.55,K4III,*
7008,,172365,,,18 39 36.9,+05 15 51,6.38,0.78,F8Ib-II,*
7009,,172380,,XY Lyr,18 38 06.5,+39 40 05,6.04,1.65,M4.5-M5+II,*
7010,,172424,11555,,18 39 51.6,+07 21 30,6.28,0.96,G8III,*
7011,26    Sgr,172546,,,18 41 51.6,-23 50 00,6.23,0.23,Am,
7012,,172555,,,18 45 26.9,-64 52 17,4.79,0.20,A5IV-V,
7013,,172569,,,18 36 13.3,+65 29 19,6.06,0.28,F0V,*
7014,,172594,,,18 41 42.5,-14 33 51,6.42,0.81,F2Ib,
7015,,172630,,,18 45 11.5,-61 05 42,6.04,1.46,K3III,
7016,,172631,,,18 40 02.0,+30 50 58,6.36,,K0,
7017,,172671,,,18 39 33.1,+40 56 06,6.25,-0.06,B9V,*
7018,,172728,,,18 37 33.5,+62 31 36,5.74,-0.06,A0V,
7019,,172741,,,18 40 12.2,+38 22 02,6.45,0.21,A6m,*
7020,Del Sct,172748,11581,Del Sct,18 42 16.4,-09 03 09,4.72,0.35,F2IIIpDel Del,*
7021,Lam CrA,172777,,11247,18 43 46.9,-38 19 25,5.13,0.09,A2Vn,*
7022,,172781,,,18 45 23.7,-56 52 54,6.22,1.38,K3III,
7023,,172816,,V3879 Sgr,18 42 55.2,-19 17 02,6.35,1.75,M4III,*
7024,,172831,,,18 42 36.1,-07 04 24,6.15,1.00,K0-1III,
7025,,172864,,,18 24 09.2,+83 10 31,6.17,0.05,A2V,
7026,,172875,,,18 44 07.7,-36 43 07,6.32,0.98,K0III,
7027,,172881,,,18 49 43.5,-72 59 41,6.06,0.00,B9.5IV-V,*
7028,,172883,,,18 39 52.8,+52 11 46,6.00,-0.07,A0p:Hg:,*
7029,,172910,,,18 44 19.4,-35 38 31,4.87,-0.18,B2.5V,*
7030,,172958,,,18 41 41.3,+31 37 04,6.41,-0.04,B8V,
7031,,172991,,,18 44 57.2,-39 41 11,5.43,0.87,K3II+B7,*
7032,Eps Sct,173009,11601,,18 43 31.3,-08 16 31,4.90,1.12,G8IIb,*
7033,,173087,11593,,18 42 08.1,+34 44 48,6.47,-0.13,B5V,*
7034,,173093,,,18 43 51.4,-06 49 07,6.31,0.48,F7V,
7035,,173117,,,18 44 49.6,-25 00 40,5.83,0.05,B5:V,*
7036,The Pav,173168,,,18 48 37.8,-65 04 40,5.73,0.24,A8V,
7539,NOVA 1670,,,CK Vul,,,,,,*
7037,,173263,,,18 46 59.1,-50 05 40,6.54,0.28,F0V,
7038,,173282,,,18 45 18.7,-21 00 05,6.36,0.45,F5V,
7039,27Phi Sgr,173300,,,18 45 39.4,-26 59 27,3.17,-0.11,B8III,*
7040,4    Aql,173370,,11290,18 44 49.9,+02 03 36,5.02,-0.06,B9V,*
7041,,173383,,11271,18 43 16.7,+39 18 01,6.45,1.59,K5,
7042,,173398,,,18 40 56.3,+62 44 59,6.09,0.98,K0III,
7043,,173416,,,18 43 36.1,+36 33 24,6.01,1.04,G8,
7044,,173417,,,18 43 51.6,+31 55 36,5.70,0.34,F1III-IV,
7045,,173425,,11309,18 46 01.2,-19 36 23,6.42,1.65,M4III,*
7046,28    Sgr,173460,11652,,18 46 20.6,-22 23 32,5.37,1.64,K4III,
7047,,173494,,,18 44 40.2,+23 35 23,6.31,0.40,F6V,
7048,,173495,11640,,18 45 28.4,+05 29 59,5.83,0.04,A1V+A1V,*
7049,46    Dra,173524,,11273,18 42 37.9,+55 32 22,5.04,-0.09,B9.5pHg:,*
7050,Mu  CrA,173540,,,18 47 44.6,-40 24 22,5.24,0.78,G5-6III,
7051,4Eps1Lyr,173582,11635,,18 44 20.4,+39 40 12,5.06,0.16,A4V,*
7052,4Eps1Lyr,173583,11635,,18 44 20.3,+39 40 16,6.02,,F1V,*
7053,5Eps2Lyr,173607,11635,11301,18 44 22.9,+39 36 47,5.14,0.19,A8Vn,*
7054,5Eps2Lyr,173608,11635,11301,18 44 22.9,+39 36 46,5.37,,F0Vn,*
7055,,173638,11670,11333,18 46 43.3,-10 07 30,5.71,0.59,F2Ib-II,*
7056,6Zet1Lyr,173648,11639,11308,18 44 46.4,+37 36 18,4.36,0.19,A4m,*
7057,7Zet2Lyr,173649,11639,11311,18 44 48.2,+37 35 40,5.73,0.28,F0IV,*
