HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
385,42    Cet,8036,1081,,01 19 48.3,-00 30 32,5.87,0.64,G8III+A7V,*
386,,8065,,,01 23 46.8,+78 43 33,6.07,0.39,A0Iab,
387,,8120,,,01 20 34.5,-03 14 49,6.23,1.02,K1III,
388,,8121,,,01 20 27.8,-11 14 20,6.15,1.11,K1III,
389,91    Psc,8126,,,01 21 07.4,+28 44 17,5.23,1.39,gK5,
390,46Xi  And,8207,,,01 22 20.4,+45 31 44,4.88,1.08,K0-IIIb,*
391,,8272,1105,,01 23 21.6,+58 08 35,6.45,,F4V,*
392,,8334,,,01 22 37.0,+01 43 35,6.20,1.52,K5IIIab,
393,43    Cet,8335,,487,01 22 34.8,-00 26 59,6.49,1.08,gK0,
394,,8350,1106,,01 22 30.5,-19 04 53,6.35,0.48,F6IV,*
395,47    And,8374,,,01 23 40.6,+37 42 54,5.58,0.26,A2Vm,*
396,,8375,,,01 23 37.5,+34 14 45,6.29,0.83,G8IV,
397,,8388,,,01 23 24.9,+20 28 08,5.97,1.71,K5,
398,,8424,,,01 25 46.5,+70 58 48,6.49,,A0Vnn,
399,36Psi Cas,8491,1129,,01 25 56.0,+68 07 48,4.74,1.05,K0III,*
400,,8498,,,01 23 31.0,-30 56 44,5.84,1.61,K5III,*
401,44    Cet,8511,,AV Cet,01 24 02.5,-08 00 27,6.21,0.23,F0V,*
402,45The Cet,8512,1118,,01 24 01.4,-08 11 00,3.60,1.06,K0III-IIIb,*
403,37Del Cas,8538,,Del Cas,01 25 49.0,+60 14 07,2.68,0.13,A5III-IV,*
404,,8556,1123,,01 24 20.6,-06 54 53,5.91,0.41,F3V,*
405,,8589,,,01 24 39.8,-15 39 37,6.14,0.91,G5,*
406,,8599,,,01 24 48.7,-02 50 55,6.15,0.96,G8III,
407,,8634,,,01 25 35.7,+23 30 42,6.18,0.43,F5III,*
408,,8651,,,01 24 40.8,-41 29 33,5.42,1.04,K0III,
409,,8671,,,01 26 18.6,+43 27 28,5.96,0.49,F7V,
410,,8673,,,01 26 08.7,+34 34 47,6.31,0.47,F7V,*
411,,8681,,,01 24 41.9,-44 31 42,6.26,1.14,K1II,
412,46    Cet,8705,,,01 25 37.2,-14 35 56,4.90,1.23,K2.5IIIb,
413,93Rho Psc,8723,,506,01 26 15.3,+19 10 20,5.38,0.39,F2V:,
414,94    Psc,8763,,,01 26 41.7,+19 14 25,5.50,1.11,K1III,*
415,,8774,,,01 27 06.2,+34 22 39,6.27,0.46,F7IVb vs,*
